,0
725,Nc1ncnc2n(cc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)Nc1cccc(c1)C(F)(F)F
726,CN1CCN(CC1)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
727,Nc1ncnc2n(cc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CC[C@@H](CC1)NC(=O)C=C
728,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C
729,CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(n1)-c1ccc(O)cc1
730,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CC[C@@H](CC1)NC(=O)C=C
731,Nc1ncnc2n(cc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CC[C@H](O)CC1
732,Cc1[nH]c(=O)c2c3n(C)c(Nc4c(Cl)cccc4Cl)nc3ccc2c1C
733,Nc1ncnc2n(cc(-c3ccc(Oc4ccccc4)cc3)c12)[C@H]1CC[C@@H](CC1)NC(=O)C=C
734,Cc1cc(Nc2nc3ccc(cc3s2)C(=O)Nc2c(C)cccc2Cl)nc(N)n1
735,Cc1cccc(Cl)c1NC(=O)c1ccc2nc(NC(=O)C3CC3)sc2c1
736,Cc1cccc(Cl)c1NC(=O)c1ccc2nc(NC(=O)NC3CC3)sc2c1
737,Nc1ncnc2n(cc(-c3ccc(Oc4ccccc4)cc3)c12)C1CCCC1
738,Cc1cccc(Cl)c1NC(=O)c1ccc2nc(Nc3ccccc3)sc2c1
739,Cc1cccc(Cl)c1Nc1nc2ccccc2n2cncc12
740,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)N2CCOCC2)cc1
741,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)[N+]([O-])=O)cc1
742,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)N2CCCCC2)cc1
743,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)N1CCOCC1
744,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)-c2ccccc2)cc1
745,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccccc2)cc1
746,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)NS(=O)(=O)c1ccc(Cl)cc1
747,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(Br)cc2)cc1
748,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)Nc1ccc(cc1)N1CCOCC1
749,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)c1nc2ccccc2[nH]1
750,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)NS(=O)(=O)c1ccc(N)cc1
751,[O-][N+](=O)c1cccc(c1)N1CCN(CC1)C(=O)Nc1ccc(cc1)N1CCOCC1
752,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)NS(=O)(=O)c1ccc(Br)cc1
753,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)NS(=O)(=O)c1ccc(I)cc1
754,[O-][N+](=O)c1ccc(NC(=O)N2CCN(CC2)S(=O)(=O)c2ccccc2)cc1
755,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)N1CCCCC1
756,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)NS(=O)(=O)c1ccccc1
757,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccccc2)c2nonc12
758,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)c1nc2ccccc2s1
759,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)c1nc2ccccc2s1
760,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(O)=O
761,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(O)=O
762,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(O)=O
763,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
764,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
765,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
766,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(N)=O
767,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(O)=O
768,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(O)=O
769,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(O)=O
770,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(O)=O
771,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(O)=O
772,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(O)=O
773,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(N)=O
774,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(O)=O
775,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(O)=O
776,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(O)=O
777,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(O)=O
778,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O
779,CC(=O)N[C@@H](CO)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O
780,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nc2ccccc2s1
781,CC(C)(C)OC(=O)N[C@@H](Cc1cccc(c1)C(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nc2ccccc2s1
782,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nc2ccccc2s1
783,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nccs1
784,NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1
785,CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nc2ccccc2s1
786,NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1
787,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nccs1
788,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nc2ccccc2o1
789,NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)c1nc2ccccc2s1
790,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(=O)c1nc2ccccc2s1
791,NC(=N)NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)c1nccs1
792,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(C)=O)C(C)C)C(=O)c1nccs1
793,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(C)=O)C(=O)c1nccs1
794,CC(C)(C)OC(=O)N[C@@H](Cc1cccc(c1)C(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C=O
795,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C=O
796,CC(C)(C)OC(=O)N[C@@H](Cc1cccc(c1)C(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nccs1
797,NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)c1nccs1
798,CC(C)(C)OC(=O)N[C@@H](Cc1cccc(c1)C(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nc2ccccc2o1
799,CC(C)(C)OC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)c1nc2ccccc2o1
800,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N
801,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N
802,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N)=
803,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N)=
804,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N
805,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=
806,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N
807,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=
808,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
809,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc
810,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc
811,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1
812,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1
813,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
814,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=
815,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=
816,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=
817,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
818,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(=
819,CC[C@H](C)[C@H](NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(C)=O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
820,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)N2CCOCC2)cc1
821,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)-c2ccccc2)cc1
822,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccccc2)cc1
823,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)N2CCCCC2)cc1
824,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)N1CCOCC1
825,[O-][N+](=O)c1ccc(SCC(=O)N2CCN(CC2)S(=O)(=O)c2ccccc2)cc1
826,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)N2CCCC2=O)cc1
827,[O-][N+](=O)c1ccc(NC(=O)N2CCN(CC2)S(=O)(=O)c2ccccc2)cc1
828,Cn1cccc1C(=O)N1CCN(CC1)S(=O)(=O)c1ccc(cc1)N1CCOCC1
829,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(Br)cc2)cc1
830,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)N2CCOCC2)c2nonc12
831,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccccc2)c2nonc12
832,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)NC1CCCCC1
833,[O-][N+](=O)c1ccc(CN2CCN(CC2)S(=O)(=O)c2ccc(cc2)N2CCCC2)cc1
834,[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)CCl
835,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)NC1CCCCCC1
836,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)C(=O)CCl
837,Cn1cccc1C(=O)N1CCN(CC1)S(=O)(=O)c1ccc(N)cc1
838,[O-][N+](=O)c1cccc(c1)N1CCN(CC1)C(=O)NC1CCCCC1
839,[O-][N+](=O)c1ccc(cc1)N1CCN(CC1)S(=O)(=O)c1ccccc1
840,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc3cnc4ccccn34)cc2C(F)(F)F)CC1
841,COc1cc2c(Oc3ccc(NC(=O)NN4C(SCC4=O)c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCOCC1
842,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
843,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCOCC1
844,COc1cc2c(Oc3ccc(NC(=O)NN4C(SCC4=O)c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCCC1
845,COc1cc2c(Oc3ccc(NC(=O)NN4C(SCC4=O)c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1
846,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)cc3)c2cc1OC
847,Cc1ccc(cc1NC(=O)c1cnc2ccccn12)-c1noc(n1)C1CC(F)(F)C1
848,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCCCC1
849,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)cc3F)c2cc1OC
850,Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(sc34)C(=O)NCCN3CCOCC3)cc2F)c1
851,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)c2cc1OC
852,COc1cc2c(Oc3ccc(NC(=O)NN4C(SCC4=O)c4ccccc4)cc3F)ccnc2cc1OCCCN1CCOCC1
853,COc1cc2c(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3F)ccnc2cc1OCCCN1CCCC1
854,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)ccc4F)cc3)c2cc1OC
855,Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(sc34)C(=O)NCCN3CCCC3)cc2F)c1
856,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c2cc1OC
857,COc1cc2c(Oc3ccc(NC(=O)NN4C(SCC4=O)c4ccccc4)cc3F)ccnc2cc1OCCCN1CCCCC1
858,Cc1ccc(F)c(NC(=O)Nc2ccc(Oc3ccnc4cc(sc34)C(=O)NCCN3CCCCC3)cc2F)c1
859,CN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2ccc(cc2)-c2cn3ncnc(N)c3c2)CC1
860,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(C(C)C)c2s1
861,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(O[C@H]3CCOC3)nc2s1
862,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(C3CCOC3)c2s1
863,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(C)c2s1
864,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(O[C@@H]3CCOC3)nc2s1
865,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(C3CCCC3)c2s1
866,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(CC3CCOC3)c2s1
867,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(OCC3CCOC3)nc2s1
868,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(C(C)C)c(=O)c2s1
869,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(OC)cc2s1
870,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(C3CCOCC3)c2s1
871,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(OC)nc2s1
872,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(OC(C)C)nc2s1
873,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(O[C@H]3CCOC3)cc2s1
874,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(OC3CCOC3)nc2s1
875,CCNC(=O)Nc1cc(-c2nc(cs2)C(F)(F)F)c(cn1)-c1cnn(C)c1
876,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(O[C@@H]3CCOC3)cc2s1
877,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(nc2s1)-c1cccnc1
878,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(OCCOC)nc2s1
879,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(nc2s1)-c1ccccc1
880,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\[C@@H]1CC[C@@H
881,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\[C@@H]1CC[C@@H
882,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\[C@@H]1C[C@@H
883,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\C
884,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\C1CC[C@@H](OC)[C@
885,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\[C@@H]1CC[C@H](
886,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2O[C@](O)([C@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C/[C@@H]1CC[C@@H
887,CC[C@@H]1\C=C(C)\C[C@H](C)C[C@H](OC)[C@H]2OC(O)([C@@H](C)C[C@@H]2OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H]([C@H](C)[C@@H](O)CC1=O)C(\C)=C\[C@@H]1CC[C@@H](O
